Name,Age,Nationality,Club
Tang Shi,23,China PR,Guangzhou Evergrande Taobao FC
S. Horemans,20,Belgium,Excelsior
J. Rodríguez,24,Argentina,San Martín de San Juan
O. Tounkara,28,France,La Berrichonne de Châteauroux
Choi Jae Soo,35,Korea Republic,Gyeongnam FC
J. McNerney,28,England,Crawley Town
N. Fujita,31,Japan,Vissel Kobe
D. Giraldo,20,Colombia,Rionegro Águilas
J. Flores,22,England,Östersunds FK
S. Gbegnon,26,Togo,AS Béziers
G. Rogers,36,Republic of Ireland,Dundalk
Maximiano,23,Brazil,Minnesota United FC
M. Al Dhaw,24,Sudan,Ohod Club
K. Despodov,21,Bulgaria,
T. Schilk,26,Germany,Hallescher FC
A. Sharahili,24,Saudi Arabia,Al Hilal
S. Pawłowski,31,Poland,Zagłębie Sosnowiec
K. Schwertfeger,29,Germany,KFC Uerdingen 05
E. Baldini,21,Italy,Ascoli
O. Framelin,21,Cameroon,CD Nacional
T. Conechny,20,Argentina,Portland Timbers
K. Osyra,25,Poland,Miedź Legnica
F. Cernuto,26,Italy,Venezia FC
N. Pierini,19,Italy,Spezia
R. Uldrikis,20,Latvia,FC Sion
P. Wilson,21,Sweden,GIF Sundsvall
A. Dijksteel,21,Netherlands,Charlton Athletic
S. Pérez,27,Chile,CD Palestino
S. Larsen,30,Norway,IK Start
F. Barrientos,21,Chile,CD Palestino
J. Putze,23,Germany,VfL Sportfreunde Lotte
A. Al Sulayhim,24,Saudi Arabia,Al Shabab
Wanderson,29,Brazil,Jeonnam Dragons
L. García,20,Colombia,Sevilla FC
S. Pino,24,Chile,CD Universidad de Concepción
Y. Matsushita,24,Japan,Vissel Kobe
L. Rath,26,Austria,SV Mattersburg
E. Mjelde,34,Norway,Sandefjord Fotball
D. Buchanan,32,Northern Ireland,Northampton Town
P. Pomykal,18,United States,FC Dallas
J. O'Brien,30,Scotland,Bradford City
Y. Tanaka,32,Japan,Cerezo Osaka
B. Babiarz,29,Poland,Zagłębie Sosnowiec
M. Sans,30,France,Chamois Niortais Football Club
Fran Cruz,27,Spain,Miedź Legnica
S. Sama,25,Germany,Heracles Almelo
D. Wiebe,24,Germany,SC Preußen Münster
Juan Hernández,23,Spain,Cádiz CF
M. Spelmann,31,Denmark,Aarhus GF
J. Beyer,18,Germany,Borussia Mönchengladbach
S. Robinson,26,Scotland,Livingston FC
O. Berg,24,Norway,GIF Sundsvall
J. Arctander Moe,22,Norway,Stabæk Fotball
T. Hagn,23,Germany,SpVgg Unterhaching
H. Camara,20,Saudi Arabia,Al Qadisiyah
Alberto Espeso,20,Spain,Real Sporting de Gijón
Kim Gun Hee,23,Korea Republic,Sangju Sangmu FC
S. Schimmer,24,Germany,SpVgg Unterhaching
Paulo Vitor,19,Brazil,Albacete BP
David Alba,19,Spain,Getafe CF
R. Hedges,22,Wales,Barnsley
T. Moore,21,England,Southend United
W. Viitala,26,Finland,Malmö FF
A. Al Najjar,21,Saudi Arabia,Al Ittihad
Gonzalo Pereira,21,Spain,CF Reus Deportiu
M. Ristl,21,Germany,VfR Aalen
J. Lungi Sørensen,20,Denmark,Esbjerg fB
D. Tshiembe,26,Denmark,Hamilton Academical FC
I. De Santis,21,Italy,Ascoli
L. Krogh Gerson,28,Luxembourg,IFK Norrköping
V. Bindia,28,Senegal,Sandefjord Fotball
A. Ferati,20,Germany,Hamburger SV
M. Penney,20,England,Sheffield Wednesday
A. Ibrahimaj,26,Germany,KFC Uerdingen 05
R. Lamie,25,Scotland,Livingston FC
J. Smith,31,England,Crawley Town
D. Soto,19,Chile,CD Universidad de Concepción
T. Vincensini,24,France,Valenciennes FC
A. Al Barakah,27,Saudi Arabia,Al Fayha
D. Barreto,25,Paraguay,Alianza Petrolera
A. Andrianarimanana,27,Madagascar,Kaizer Chiefs
Ricardo Schutte,20,Portugal,Rio Ave FC
D. Jubitana,19,Belgium,Waasland-Beveren
M. Salas,20,Argentina,CD O'Higgins
C. Dummigan,22,Northern Ireland,Oldham Athletic
R. Córdoba,28,Colombia,Jaguares de Córdoba
C. Lindquist,22,Norway,Strømsgodset IF
S. Donnellan,21,Republic of Ireland,Yeovil Town
D. Kozica,25,Sweden,Djurgårdens IF
T. Ephestion,23,France,US Orléans Loiret Football
W. Jordán,27,Colombia,Itagüí Leones FC
F. Jagiełło,20,Poland,Zagłębie Lubin
H. Storbæk,32,Norway,Sandefjord Fotball
M. Mandron,23,France,Colchester United
Robert Costa,24,Spain,RC Celta
Borja Fernández,22,Spain,Miedź Legnica
Jang Dae Hee,24,Korea Republic,Jeonnam Dragons
M. Barreiro,33,Argentina,Atlético Huila
Kang Ji Hoon,21,Korea Republic,Gangwon FC
M. Rasmussen,20,Norway,FC Nordsjælland
F. Barboza,21,Argentina,Argentinos Juniors
Fábio Ferreira,29,Portugal,Perth Glory
Lee Jin Hyun,20,Korea Republic,Pohang Steelers
L. Meisl,19,Austria,SKN St. Pölten
F. Lepore,32,Italy,Lecce
A. Bah,20,Denmark,SønderjyskE
F. Coniglio,26,Argentina,Club Atlético Lanús
J. Hjorth,23,Denmark,Vendsyssel FF
E. Frederiksen,17,Denmark,SC Heerenveen
G. Ingrosso,29,Italy,Ascoli
Ander Cantero,23,Spain,CF Rayo Majadahonda
Bae Ki Jong,35,Korea Republic,Gyeongnam FC
Jorge Félix,26,Spain,Piast Gliwice
H. Akino,23,Japan,Shonan Bellmare
A. Layouni,25,Sweden,FK Bodø/Glimt
J. Salazar,21,Colombia,Millonarios FC
M. Kallesøe,21,Denmark,Randers FC
L. Sierra,30,Colombia,Once Caldas
R. Guder,23,Germany,SV Wehen Wiesbaden
S. Bywater,37,England,Burton Albion
A. Bangoura,22,Guinea,Al Fateh
Chema,20,Spain,UD Almería
O. Kudryk,21,Ukraine,Shakhtar Donetsk
D. Todorovic,21,Bosnia Herzegovina,FC Red Bull Salzburg
D. Denić,22,Serbia,Rosenborg BK
P. Cowan-Hall,27,England,Wycombe Wanderers
P. McGinn,27,Scotland,St. Mirren
K. Bielik,20,Poland,Charlton Athletic
D. Hümmet,21,Turkey,Trelleborgs FF
A. Mora,20,Mexico,Deportivo Toluca
K. Magennis,19,Scotland,St. Mirren
J. Mountney,25,Republic of Ireland,Dundalk
P. Pflücke,21,Germany,KFC Uerdingen 05
N. Falasco,24,Italy,Perugia
A. Skovgaard,21,Denmark,FC Nordsjælland
F. Al Yamani,28,Saudi Arabia,Al Faisaly
C. Maboulou,28,Congo,AS Nancy Lorraine
R. McCabe,25,Scotland,Sligo Rovers
M. McNulty,37,Republic of Ireland,Cork City
L. Corti,37,Argentina,San Martín de San Juan
E. Parish,28,England,Dundee FC
R. Tongyik,21,Australia,Western Sydney Wanderers
Bolaños,23,Spain,CD Tenerife
W. Meyiwa,18,South Africa,Kaizer Chiefs
D. Reimann,21,Germany,Holstein Kiel
T. Heintz,19,Norway,Sarpsborg 08 FF
K. Dermaku,26,Albania,Cosenza
A. Mendes Moreira,23,Netherlands,FC Groningen
K. Seki,32,Japan,Vegalta Sendai
M. Doucouré,20,France,Borussia Mönchengladbach
S. Beusnard,26,France,AS Béziers
J. Kamber,26,Switzerland,Neuchâtel Xamax
G. Mutombo,22,France,US Orléans Loiret Football
B. Lubala,20,DR Congo,Birmingham City
S. Zizzo,31,United States,Atlanta United
A. Horwath,31,United States,Real Salt Lake
R. Healey,23,England,Milton Keynes Dons
O. Muzayil,25,Saudi Arabia,Al Ittihad
A. Taylor,32,England,Oldham Athletic
A. Sosa,18,Argentina,Club Atlético Banfield
J. Cruz,19,Mexico,Tigres U.A.N.L.
Jordi Sánchez,23,Spain,CD Numancia
Wan Houliang,32,China PR,Beijing Renhe FC
J. Morrell,21,Wales,Bristol City
R. Macek,21,Czech Republic,FC Lugano
Idrisa Sambú,20,Portugal,Royal Excel Mouscron
D. Steininger,23,Germany,SpVgg Greuther Fürth
M. Kuleli,20,Turkey,Çaykur Rizespor
K. Duncan,20,United States,New York Red Bulls
M. Eskihellaç,21,Turkey,Yeni Malatyaspor
Bruno Michel,19,Brazil,Ohod Club
L. Nolan,23,Northern Ireland,Accrington Stanley
H. Futami,26,Japan,Shimizu S-Pulse
D. Otto,19,Germany,TSG 1899 Hoffenheim
Quique Cebriá,23,Spain,SD Eibar
D. Granli,24,Norway,Stabæk Fotball
J. Vargas,23,Costa Rica,Deportes Tolima
Túlio Nevinha,30,Brazil,Ceará Sporting Club
D. Sappa,23,Argentina,Estudiantes de La Plata
N. Boxall,26,New Zealand,
Emilio Bernad,18,Spain,Valencia CF
Murilo Mendes,23,Brazil,Livorno
J. Obrian,23,Colombia,Deportes Tolima
M. Nicolas,20,Germany,Borussia Mönchengladbach
J. Möbius,21,Germany,Karlsruher SC
Thallyson,26,Brazil,Sint-Truidense VV
C. Kobald,20,Austria,Karlsruher SC
J. Gray,22,England,Yeovil Town
S. Nelson,36,England,Yeovil Town
D. Sołdecki,31,Poland,Arka Gdynia
M. Hongla,20,Cameroon,Granada CF
V. Dragomir,19,Romania,Perugia
D. Schmidt,26,Japan,Vegalta Sendai
Ayala,21,Spain,CF Reus Deportiu
N. Erlbeck,25,Germany,FC Carl Zeiss Jena
D. Gallagher,27,Scotland,Livingston FC
M. Hauptmeijer,21,Netherlands,PEC Zwolle
A. Granlund,28,Finland,Örebro SK
Kim Dong Min,23,Korea Republic,Incheon United FC
F. Kusić,22,Serbia,FC Erzgebirge Aue
A. Sorge,25,Germany,FSV Zwickau
F. Venegas,19,Mexico,CD Everton de Viña del Mar
R. Shinzato,27,Japan,Júbilo Iwata
Borja Estepa,19,Spain,Córdoba CF
M. Solheim,30,Norway,Hammarby IF
G. Rea,23,Republic of Ireland,Luton Town
Rubén Mesa,26,Spain,Villarreal CF
M. Browne,20,England,Oxford United
S. Morishita,32,Japan,Júbilo Iwata
O. Kabak,18,Turkey,Galatasaray SK
A. Pikk,25,Estonia,Miedź Legnica
N. Espinoza,22,Chile,San Luis de Quillota
A. Ahmed,29,Sweden,Dalkurd FF
H. Bilal,20,Turkey,Kasimpaşa SK
J. Soto,26,Chile,Club Deportes Temuco
M. Léris,20,France,Chievo Verona
M. Maier,22,Austria,FC Admira Wacker Mödling
F. Hornby,18,Scotland,Everton
F. Adu Kwame,33,Ghana,Miedź Legnica
M. Hamoud,33,Norway,Strømsgodset IF
I. Alba,23,Colombia,Once Caldas
A. López,19,Netherlands,KSV Cercle Brugge
A. Akinyemi,19,Nigeria,IK Start
M. Gutiérrez,26,Uruguay,CD O'Higgins
G. Diaz,24,Chile,Club Deportes Temuco
R. ten Hove,20,Netherlands,Feyenoord
Pedro Neto,18,Portugal,Lazio
C. Fagan,29,Republic of Ireland,St. Patrick's Athletic
M. Clayton,23,England,Blackpool
M. Litka,22,Germany,KFC Uerdingen 05
J. McGing,24,Australia,Central Coast Mariners
J. Jiménez,24,Colombia,Atlético Bucaramanga
Li Peng,27,China PR,Shanghai Greenland Shenhua FC
Carlos Gracia,25,Spain,GIF Sundsvall
R. Hernández,20,Venezuela,Stabæk Fotball
E. Yeşilyurt,24,Germany,Sivasspor
A. Jones,20,England,St. Mirren
G. Piscitella,25,Italy,Carpi
Samuel Manchón,21,Spain,Extremadura UD
H. Silveira,25,Uruguay,Club Atlético Tigre
Andrés Martín,18,Spain,Córdoba CF
J. Labadie,27,England,Newport County
P. Kristensen,31,Denmark,Aalborg BK
D. Agyei,21,England,Burnley
N. Fofana,28,France,La Berrichonne de Châteauroux
A. Golec,28,Australia,Central Coast Mariners
C. Pérez,23,Colombia,Alianza Petrolera
S. Hendrie,23,Scotland,Southend United
J. Porsan-Clémenté,20,France,Montpellier HSC
F. Valenčič,26,Slovenia,Stabæk Fotball
K. Marsh-Brown,25,England,Newport County
P. Retre,25,Australia,Sydney FC
G. Woods,28,England,Hamilton Academical FC
M. Konradsen,22,Norway,FK Bodø/Glimt
R. Hardie,21,Scotland,Livingston FC
S. Gronsveld,22,Netherlands,FC Emmen
L. Dodds,31,England,Port Vale
M. Shabani,19,Germany,FC Bayern München
J. McGlashan,30,England,Swindon Town
T. Soares,31,England,AFC Wimbledon
S. Dawson,32,Republic of Ireland,Bury
T. Matsuura,29,Japan,Júbilo Iwata
D. Pelivan,22,Germany,SG Sonnenhof Großaspach
B. Heneghan,24,England,Blackpool
M. Agger,25,Denmark,Sarpsborg 08 FF
B. Waters,23,England,Northampton Town
N. Delgadillo,20,Argentina,Vélez Sarsfield
T. Campanini,19,France,GFC Ajaccio
M. Raynov,26,Bulgaria,
K. Larson,26,Sweden,IK Sirius
A. Boupendza,21,Gabon,GFC Ajaccio
J. Hernández,21,Venezuela,Atlanta United
R. Mahazi,26,Australia,Western Sydney Wanderers
S. Kurt,21,Germany,Hertha BSC
I. Al Maghrabi,26,Saudi Arabia,Al Taawoun
G. Perrulli,33,Italy,US Cremonese
K. Memija,22,Bosnia Herzegovina,Vejle Boldklub
S. McGinn,29,Scotland,St. Mirren
Kim Keun Hoan,31,Korea Republic,Gyeongnam FC
M. Raynes,30,England,Crewe Alexandra
C. Rocchia,20,France,Olympique de Marseille
J. Dunne,28,England,Swindon Town
Hou Sen,29,China PR,Beijing Sinobo Guoan FC
Min Junlin,24,China PR,Guizhou Hengfeng FC
I. Escobar,22,Argentina,Club Atlético Talleres
Pepê,20,Brazil,Portimonense SC
D. Johnson,19,England,Leicester City
L. Gil,24,United States,Houston Dynamo
B. Haunstrup,21,England,Portsmouth
Lee Dong Su,24,Korea Republic,Jeju United FC
Q. Bena,20,France,Chamois Niortais Football Club
H. Türkmen,20,Turkey,Trabzonspor
B. Kyere,23,Ghana,SC Fortuna Köln
L. Pintor,17,France,Olympique Lyonnais
Eric García,17,Spain,Manchester City
A. Solano,20,Colombia,Atlético Madrid
C. Harold,25,Australia,Perth Glory
I. Gelios,26,Greece,FC Hansa Rostock
D. Kudła,26,Poland,Zagłębie Sosnowiec
Lee Sang Ki,22,Korea Republic,Pohang Steelers
W. Omsberg,22,United States,Minnesota United FC
B. Schwarz,31,Germany,SC Preußen Münster
R. Koczor,29,Germany,FC Carl Zeiss Jena
T. Cicek,26,Turkey,Neuchâtel Xamax
A. Mehring,24,Argentina,Godoy Cruz
M. Briceño,22,Chile,Curicó Unido
P. Hellquist,27,Sweden,IF Brommapojkarna
L. Dennis,25,England,Portsmouth
M. Baude,28,Germany,FC Energie Cottbus
L. Moneta,24,Poland,Zagłębie Lubin
S. Hyodo,32,Japan,Hokkaido Consadole Sapporo
S. Økland,25,Norway,Kristiansund BK
L. Sapela,35,Poland,Miedź Legnica
J. Tell,21,France,US Orléans Loiret Football
A. Altuna,26,Argentina,San Martin de Tucumán
A. Rizzo,21,Italy,Cittadella
L. Thomas,19,England,Coventry City
R. Schlegel,21,Argentina,Racing Club
D. Montoya,22,Colombia,Itagüí Leones FC
J. McNulty,33,Scotland,Rochdale
J. Barrera,29,Nicaragua,Boyacá Chicó FC
J. Stead,35,England,Notts County
A. Semprini,20,Italy,Brescia
R. Bingham,24,England,Hamilton Academical FC
K. Dankowski,21,Poland,Śląsk Wrocław
I. Colman,23,Argentina,Club Atlético Aldosivi
M. Feeney,19,England,Everton
R. Minor,30,Denmark,Hobro IK
Klauss,21,Brazil,HJK Helsinki
I. Sissoko,22,France,AS Béziers
F. Hart,28,Austria,SV Mattersburg
L. McCullough,24,Northern Ireland,Tranmere Rovers
Li Yunqiu,27,China PR,Shanghai Greenland Shenhua FC
F. Garcia,29,Paraguay,Itagüí Leones FC
R. Haemhouts,34,Belgium,NAC Breda
E. Binaku,22,Albania,Malmö FF
G. Miller,31,Scotland,Carlisle United
A. Aidonis,17,Germany,VfB Stuttgart
L. Sowah,25,Germany,Hamilton Academical FC
R. Deacon,26,England,Dundee FC
Jang Hyun Soo,25,Korea Republic,Suwon Samsung Bluewings
A. Al Malki,23,Saudi Arabia,Al Wehda
E. Guerrero,27,Chile,CD Palestino
Hernáiz,20,Spain,Albacete BP
H. Al Mansour,25,Saudi Arabia,Al Nassr
H. Paul,24,Germany,TSV 1860 München
S. Bauer,25,Austria,FC Admira Wacker Mödling
M. Chergui,29,France,Grenoble Foot 38
D. Gardner,28,England,Oldham Athletic
L. Bengtsson,20,Sweden,Hammarby IF
F. Jaramillo,22,Colombia,Itagüí Leones FC
L. Garguła,37,Poland,Miedź Legnica
S. Rivera,26,Colombia,Jaguares de Córdoba
Vinicius,19,Brazil,Bologna
F. Sepúlveda,26,Chile,CD Antofagasta
L. Spence,22,Scotland,Dundee FC
B. Lepistu,25,Estonia,Kristiansund BK
A. Abruscia,27,Italy,TSV 1860 München
E. González,23,Venezuela,Boyacá Chicó FC
M. Al Amri,26,Saudi Arabia,Al Raed
J. Rebolledo,26,Chile,Deportes Iquique
C. Mamengi,17,Netherlands,FC Utrecht
P. Mazzocchi,22,Italy,Perugia
Y. Ammour,19,France,Montpellier HSC
Jwa Joon Hyeop,27,Korea Republic,Gyeongnam FC
O. Marrufo,25,Mexico,Tiburones Rojos de Veracruz
Han Pengfei,25,China PR,Guizhou Hengfeng FC
Lee Min Gi,25,Korea Republic,Sangju Sangmu FC
C. Maloney,23,United States,Columbus Crew SC
A. Taylor-Sinclair,27,Scotland,Motherwell
R. Al Ebrahim,24,Saudi Arabia,Al Raed
B. Castrillon,19,Colombia,Independiente Medellín
Kim Kyung Jung,27,Korea Republic,Sangju Sangmu FC
S. Cibois,20,France,Paris Saint-Germain
M. Hiller,21,Germany,TSV 1860 München
D. Kopacz,19,Poland,VfB Stuttgart
H. Massengo,16,France,AS Monaco
Jo Jae Cheol,32,Korea Republic,Gyeongnam FC
M. Schimpelsberger,27,Austria,FC Wacker Innsbruck
M. Juel Andersen,20,Denmark,AC Horsens
F. Cobos,25,Argentina,Godoy Cruz
D. van der Heijden,21,Netherlands,Carpi
P. Soiri,23,Finland,FC Admira Wacker Mödling
J. Yeboah,18,Germany,VfL Wolfsburg
M. Taylor,36,England,Swindon Town
O. Zawada,22,Poland,Wisła Płock
L. Ndukwu,19,England,Leicester City
M. Mudryk,17,Ukraine,Shakhtar Donetsk
V. Belon,23,France,Racing Club de Lens
Callejón,20,Spain,UD Almería
R. Edwards,24,Australia,St. Mirren
A. Khrees,27,Saudi Arabia,Al Faisaly
O. Hawsawi,24,Saudi Arabia,Ohod Club
M. Owusu,23,Germany,SG Sonnenhof Großaspach
L. Hurtado,23,Colombia,Rionegro Águilas
F. Ibargüen,24,Colombia,Rionegro Águilas
A. Boniotti,23,Italy,Brescia
Y. Kobayashi,32,Japan,Sagan Tosu
A. Porcino,23,Italy,Livorno
G. MacKenzie,32,Scotland,St. Mirren
Pedro López,21,Spain,CD Lugo
J. Livolant,20,France,La Berrichonne de Châteauroux
D. Avdić,29,Sweden,AIK
Zhu Baojie,28,China PR,Beijing Renhe FC
P. Mingoia,26,England,Accrington Stanley
J. Hernández,23,Mexico,Club Necaxa
A. Poulsen,18,Denmark,Borussia Mönchengladbach
C. Butcher,27,England,Mansfield Town
S. Antonio,23,Switzerland,FC Basel 1893
D. Santa,26,Colombia,Alianza Petrolera
H. Ishige,23,Japan,Shimizu S-Pulse
M. Woolford,32,England,Grimsby Town
C. Højer Nielsen,23,Denmark,Aarhus GF
Yeo Seong Hae,30,Korea Republic,Gyeongnam FC
E. Ortega,21,Mexico,Club Atlas
M. Fritz,24,Germany,SC Fortuna Köln
E. Valla Dønnem,27,Norway,Ranheim Fotball
G. Asís,22,Argentina,Independiente
L. Abdulahi,22,Netherlands,De Graafschap
N. Townsend,23,England,Newport County
J. Sinclair,21,England,Sunderland
B. Al Mutairi,28,Saudi Arabia,Al Batin
Sillero,20,Spain,Athletic Club de Bilbao
A. Gryszkiewicz,18,Poland,Górnik Zabrze
Jon Bakero,21,Spain,Toronto FC
Gao Di,28,China PR,Shanghai Greenland Shenhua FC
R. Charles-Cook,24,England,SønderjyskE
Kim Do Hyung,27,Korea Republic,Pohang Steelers
D. Mazzocco,22,Italy,Padova
J. Koutroumbis,20,Australia,Newcastle Jets
J. Pretel,23,Colombia,Patriotas Boyacá FC
Guerrero,20,Spain,CF Reus Deportiu
K. Nowak,23,Poland,Górnik Zabrze
J. Kade,19,Germany,Hertha BSC
W. Miller,22,England,Burton Albion
B. Šerbečić,20,Bosnia Herzegovina,Rosenborg BK
G. Fuentes,21,Colombia,Junior FC
J. Coppens,27,Belgium,FC Carl Zeiss Jena
L. Maniero,23,Italy,Cittadella
S. Antonijevic,29,United States,Lillestrøm SK
J. Zwarts,19,Netherlands,Feyenoord
Sun Shilin,29,China PR,Shanghai Greenland Shenhua FC
L. Rodríguez,23,Colombia,Envigado FC
R. Fergonzi,29,Argentina,Patriotas Boyacá FC
M. Makasi,22,England,West Ham United
A. Pelvas,29,Finland,HJK Helsinki
T. Rocha,24,United States,Orlando City SC
H. Suárez,24,Colombia,Atlético Huila
A. Oviedo,22,Paraguay,Newell's Old Boys
M. Carraro,20,Italy,Foggia
Hugo Duro,18,Spain,Getafe CF
Cao Yang,36,China PR,Tianjin TEDA FC
K. McHattie,24,Scotland,Derry City
N. Pelaitay,25,Argentina,San Martín de San Juan
U. Torres,20,Mexico,Club América
Javi Mier,19,Spain,Real Oviedo
D. Facchin,31,Italy,Venezia FC
J. Turnbull,23,England,Northampton Town
J. Manns,22,Sweden,IF Elfsborg
D. Al Qarni,29,Saudi Arabia,Al Fayha
D. Erdoğan,21,Turkey,LASK Linz
J. Eiswohld,28,Sweden,IK Sirius
K. Sarkodie,27,United States,Trelleborgs FF
B. Garmston,24,Republic of Ireland,Gillingham
M. Cubillos,22,Chile,Deportes Iquique
H. Cornick,23,England,Luton Town
Ernest Forgás,24,Spain,CF Reus Deportiu
K. Appin,20,France,KSV Cercle Brugge
Abenza,22,Spain,UD Almería
D. Schütz,27,Austria,SKN St. Pölten
H. Shaian,29,Saudi Arabia,Al Taawoun
Yun Sang Ho,26,Korea Republic,Incheon United FC
P. Caddis,30,Scotland,Bradford City
I. Diallo,19,France,Stade Brestois 29
M. Sak,28,Turkey,MKE Ankaragücü
C. Halkett,23,Scotland,Livingston FC
S. Al Masrahi,31,Saudi Arabia,Al Batin
C. Ogbene,21,Republic of Ireland,Exeter City
C. Cisternas,32,Chile,Curicó Unido
D. Sugimoto,24,Japan,Yokohama F. Marinos
L. Lapoussin,22,France,Red Star FC
Nam Seung Woo,26,Korea Republic,Gangwon FC
C. Sibbald,23,Scotland,Livingston FC
A. Sánchez,19,Mexico,Cruz Azul
Y. Tasaka,32,Japan,Kawasaki Frontale
N. Estévez,22,Argentina,Estudiantes de La Plata
T. Siedschlag,30,Germany,Holstein Kiel
D. Mullen,23,Scotland,St. Mirren
C. Clements,28,England,Cheltenham Town
K. Wilson,18,England,Walsall
B. Kraev,21,Bulgaria,FC Midtjylland
F. Baise,38,Hong Kong,Guizhou Hengfeng FC
D. Grubb,26,England,Forest Green Rovers
K. Roos,26,Netherlands,Derby County
Longchang Lin,28,China PR,Guizhou Hengfeng FC
A. Mosquera,30,Colombia,La Equidad
T. Yokoyama,33,Japan,Hokkaido Consadole Sapporo
J. Segre,21,Italy,Venezia FC
M. O'Brien,25,Republic of Ireland,Newport County
J. Clisby,26,Australia,Central Coast Mariners
H. Anderson,21,England,Lincoln City
Kike,18,Spain,Rayo Vallecano
C. Akas,24,Nigeria,Kalmar FF
M. Thorbjörnsson,30,Sweden,Dalkurd FF
A. Al Zubaidi,25,Saudi Arabia,Al Raed
M. Kühne,30,Germany,FC Carl Zeiss Jena
T. Majrashi,27,Saudi Arabia,Ohod Club
M. Ofkir,21,Norway,Sandefjord Fotball
A. Amaya,17,Colombia,Atlético Huila
Du Zhenyu,35,China PR,Changchun Yatai FC
C. Raglan,25,England,Oxford United
D. Wright,23,England,St. Johnstone FC
W. Pérez,19,Argentina,Club Atlético Huracán
B. Utvik,22,Norway,Sarpsborg 08 FF
E. Torres,20,Mexico,Guadalajara
A. Tabanelli,28,Italy,Lecce
A. Berzel,26,Germany,TSV 1860 München
J. Cranston,24,Wales,Morecambe
C. Stefańczyk,34,Poland,Wisła Płock
M. Gómez,21,Colombia,Envigado FC
Fachendinho,26,Brazil,Santos
Y. van Osch,21,Netherlands,PSV
Lin Chuangyi,25,China PR,Shanghai SIPG FC
Yago,21,Brazil,Lobos BUAP
S. van der Lei,25,Netherlands,Dalkurd FF
M. Austin,27,Australia,Newcastle Jets
W. Balikwisha,19,Belgium,Standard de Liège
M. Piątkowski,33,Poland,Miedź Legnica
H. Löfkvist,23,Sweden,Dalkurd FF
B. N'Gala,28,England,Crawley Town
N. Gjorgjev,20,FYR Macedonia,Grasshopper Club Zürich
I. Anthony,20,Nigeria,FK Haugesund
J. Delétraz,32,France,Grenoble Foot 38
K. Junker,24,Denmark,AC Horsens
F. Ortega,19,Argentina,Vélez Sarsfield
Josep Martínez,20,Spain,UD Las Palmas
S. Barratt,22,England,Southend United
O. Rodas,31,Colombia,Boyacá Chicó FC
B. Lozano,21,Mexico,U.N.A.M.
I. Wadji,23,Senegal,FK Haugesund
Liu Weidong,31,China PR,Chongqing Dangdai Lifan FC SWM Team
B. Prokopič,30,Austria,SCR Altach
M. Gardawski,27,Germany,Korona Kielce
T. King,23,England,AFC Wimbledon
P. Sarr,25,Senegal,FC Zürich
N. Bustos,19,Argentina,Club Atlético Talleres
M. Bauer,23,Germany,SpVgg Unterhaching
Javi Alonso,19,Spain,CD Tenerife
H. Hosogai,32,Japan,Kashiwa Reysol
A. Iniestra,22,Mexico,U.N.A.M.
N. Holland,20,England,West Ham United
P. Nguinda,22,France,KSV Cercle Brugge
K. Brünker,24,Germany,Bradford City
A. Collin,33,England,Carlisle United
A. Al Shamekh,25,Saudi Arabia,Al Raed
R. Delaney,21,Republic of Ireland,Rochdale
K. Yamamoto,28,Japan,Júbilo Iwata
S. Nakahara,24,Japan,V-Varen Nagasaki
S. Ingolitsch,21,Austria,SKN St. Pölten
L. D'Ath,25,England,Milton Keynes Dons
Tiagildo Serra,30,Brazil,Sport Club do Recife
S. Rasswalder,31,Austria,TSV Hartberg
J. Esquivel,20,Mexico,Lobos BUAP
F. Baak,19,Germany,Hertha BSC
Zhang Chiming,29,China PR,Tianjin TEDA FC
R. Pillot,27,France,La Berrichonne de Châteauroux
S. Kavanagh,24,Republic of Ireland,Shamrock Rovers
S. Nattestad,23,Faroe Islands,AC Horsens
T. Broadbent,26,England,Bristol Rovers
M. Bottani,27,Switzerland,FC Lugano
Feng Zhuoyi,29,China PR,Henan Jianye FC
A. Falch,26,Norway,Sarpsborg 08 FF
K. Ono,28,Japan,Shonan Bellmare
H. Kawabe,22,Japan,Sanfrecce Hiroshima
R. Rabeï,23,France,Amiens SC
D. Duarte,33,Mexico,Atlético Huila
R. Hutton,19,England,Birmingham City
J. Torres,18,United States,Sporting Lokeren
B. Bye,22,United States,New England Revolution
J. Iritier,23,Argentina,Club Atlético Aldosivi
P. López,20,Mexico,Pachuca
L. Salas,20,Chile,CD Antofagasta
L. Young,28,England,Crawley Town
D. Bachmann,23,Austria,Kilmarnock
D. Olsson,23,Sweden,GIF Sundsvall
S. Nkansah,22,Germany,Eintracht Braunschweig
R. Brewster,18,England,Liverpool
V. Méndez,18,Chile,Unión Española
M. Veloso,26,Switzerland,Neuchâtel Xamax
Y. Arquin,30,France,Yeovil Town
M. Jelavić,24,Croatia,Royal Excel Mouscron
A. Edathodika,31,India,
Luis Perea,20,Spain,CA Osasuna
J. Villalba,19,Paraguay,Borussia Mönchengladbach
Perera,21,Spain,Deportivo Alavés
E. Kane,23,Senegal,Sandefjord Fotball
Carlitos,25,Portugal,Wisła Płock
B. Mwila,24,Zambia,SCR Altach
S. Pittman,25,Scotland,Livingston FC
E. Bajrami,30,Sweden,IF Elfsborg
R. Duffy,32,Wales,Notts County
J. Karlström,23,Sweden,Djurgårdens IF
